time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-09-15T18:49:19.137	2.109	-94.485	15.264	33776.989	0.854	0.193	-0.193	49	9.092
2017-09-15T18:51:04.752	1.618	-93.490	15.418	99135.318	0.884	0.269	0.044	50	5.965
2017-09-15T18:53:02.128	2.282	-95.208	14.835	0.000	0.335	0.221	0.113	51	5.876
2017-09-15T18:57:11.638	2.419	-94.556	15.759	45285.225	0.199	0.364	0.006	52	6.255
2017-09-15T18:59:35.095	2.209	-94.771	15.414	34091.660	1.038	0.416	-0.209	53	13.999
2017-09-15T19:03:46.120	2.379	-95.018	16.185	0.000	1.004	0.501	-0.111	54	17.555
2017-09-23T01:01:33.443	1.650	-95.631	15.899	101295.047	0.606	0.293	0.112	66	10.000
2017-09-23T01:11:27.339	2.119	-93.517	15.129	40885.535	0.291	0.412	0.010	67	9.000
2017-09-21T12:15:37.996	2.346	-93.755	15.628	80282.305	0.145	0.327	-0.026	68	5.922
2017-09-23T16:56:51.860	1.723	-95.131	15.834	91755.234	0.641	0.502	0.264	144	8.000
2017-09-23T16:57:54.370	1.844	-95.145	16.116	0.000	0.973	0.351	0.076	147	9.551
2017-09-23T16:59:09.449	2.316	-94.381	17.938	158638.881	0.329	0.285	-0.002	148	5.301
2017-09-23T17:00:13.791	2.519	-94.757	15.593	60082.871	0.371	0.183	0.046	149	6.685
2017-09-23T17:03:42.339	1.913	-94.798	16.068	30721.614	0.380	0.466	-0.018	150	5.881
2017-09-23T17:04:13.422	2.340	-94.930	15.279	32945.916	0.357	0.306	0.020	151	5.836
2017-09-23T17:06:35.396	1.905	-95.094	16.112	0.000	0.905	0.411	-0.228	152	15.014
2017-09-22T21:09:26.097	1.995	-94.877	15.543	27996.899	1.052	0.233	-0.287	153	9.000
2017-09-23T23:18:34.694	1.942	-95.092	16.062	0.000	0.536	0.251	0.012	158	6.962
2017-09-23T23:22:45.086	2.768	-94.813	15.609	36540.028	0.817	0.401	-0.071	159	7.984
2017-09-23T23:22:48.772	2.154	-95.159	15.408	1542.735	0.209	0.495	-0.061	160	7.843
2017-09-23T23:31:01.822	1.866	-94.665	16.187	33897.723	0.795	0.468	-0.211	161	5.806
2017-09-11T20:18:25.462	2.195	-94.684	15.107	32609.242	0.991	0.408	-0.166	162	7.932
2017-09-08T07:38:33.995	3.442	-94.629	15.175	34082.361	0.786	0.511	-0.284	130	14.886
2017-09-08T07:46:15.156	2.902	-94.695	15.163	33870.294	1.013	0.550	-0.448	131	13.954
2017-09-29T11:44:48.542	2.643	-96.018	18.740	53603.564	0.620	0.426	-0.077	132	4.732
2017-09-28T05:52:17.072	1.695	-94.990	15.576	32551.259	0.752	0.421	-0.059	136	12.000
2017-09-28T05:54:45.210	1.350	-94.906	16.027	13828.402	0.651	0.505	-0.108	137	5.514
2017-09-10T08:37:32.972	1.741	-94.884	15.529	29666.509	0.388	0.374	0.010	141	5.977
2017-09-10T08:39:36.689	3.283	-94.690	15.447	32605.868	0.847	0.617	-0.133	142	17.854
2017-09-14T09:41:45.671	1.539	-94.745	15.793	0.000	0.593	0.321	-0.059	205	4.849
2017-09-14T09:46:19.341	1.789	-94.807	14.856	26892.256	0.246	0.509	-0.073	206	5.372
2017-09-14T09:50:50.808	1.876	-94.726	15.519	164074.660	0.174	0.440	0.039	207	4.731
2017-09-14T10:04:23.336	2.353	-94.648	15.390	31753.537	0.831	0.326	-0.374	208	13.655
2017-09-14T10:06:38.077	1.749	-94.406	15.603	7099.736	0.767	0.439	-0.094	209	14.601
2017-09-14T10:09:28.022	1.890	-94.862	14.770	29673.564	0.880	0.325	-0.148	210	8.951
2017-09-25T07:31:47.889	1.424	-93.675	17.674	183685.976	0.376	0.500	-0.106	92	4.992
2017-09-25T07:36:30.104	1.440	-95.109	15.604	115994.969	0.889	0.362	-0.240	93	14.801
2017-09-25T07:43:52.692	1.453	-95.143	15.297	40208.778	0.649	0.484	-0.004	94	6.910
