ID,latitude,longitude,depth,X,Y,Z,EX,EY,EZ,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID,time_utc
82,15.056432,-95.285164,-35.47,-48793.5,-43583.8,6915.4,946.1,776.0,1588.0,2.901,0,0,29,12,-9.0,0.351,1,2017-09-09 02:43:36.350
83,15.271602,-94.832373,-50.241,-153.5,-19774.7,21686.2,721.8,1230.8,2257.3,2.226,0,0,211,147,-9.0,0.216,1,2017-09-09 02:56:09.920
84,15.026524,-94.408911,-27.229,45338.4,-46893.2,-1325.4,943.7,956.0,1354.0,2.36,0,0,33,11,-9.0,0.323,1,2017-09-09 02:57:02.960
85,15.509134,-94.838599,-18.428,-821.4,6508.8,-10126.3,1141.2,1572.9,1031.1,2.872,0,0,22,14,-9.0,0.266,1,2017-09-09 03:01:52.810
86,15.369722,-94.564364,-54.646,28615.1,-8917.4,26091.0,1497.4,2355.7,2753.5,3.45,0,0,60,18,-9.0,0.346,1,2017-09-09 03:08:12.010
87,14.984771,-94.615649,-38.989,23131.2,-51513.3,10434.9,780.4,1280.2,3308.2,2.375,0,0,172,47,-9.0,0.285,1,2017-09-09 04:05:34.620
88,15.29489,-94.548755,-31.968,30296.3,-17197.8,3413.6,1044.5,1742.7,1430.4,2.007,0,0,49,23,-9.0,0.384,1,2017-09-09 04:09:24.170
89,15.180621,-94.810246,-33.898,2222.8,-29841.9,5343.0,411.0,1292.3,1609.5,2.027,0,0,273,245,-9.0,0.27,1,2017-09-09 04:31:27.830
90,15.008315,-94.581632,-55.075,26784.5,-48908.0,26520.8,819.9,1044.6,2113.2,2.879,0,0,192,48,-9.0,0.272,1,2017-09-09 04:34:00.360
91,15.250541,-94.80516,-30.348,2768.1,-22105.2,1793.0,439.5,878.3,1212.0,2.624,0,0,313,252,-9.0,0.255,1,2017-09-09 05:02:30.720
92,15.153621,-94.737272,-31.437,10059.5,-32829.5,2882.5,800.2,1161.4,815.2,2.839,0,0,501,174,-9.0,0.287,1,2017-09-09 05:18:34.710
